tema,artista,album,albumId,cover
Fortunate Son,Creedence Clearwater Revival,Willy and the Poor Boys,1440950503,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/29/1b/da/291bda3c-1743-c65c-41a6-f22a88936136/14CMGIM00939.rgb.jpg/300x300bb.jpg
Have You Ever Seen the Rain,Creedence Clearwater Revival,Memorial Day 2022,1612360334,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/8d/ef/8c/8def8c29-ba57-2bfe-905a-a8519913eba9/22UMGIM22713.rgb.jpg/300x300bb.jpg
Midnight Special,Creedence Clearwater Revival,Willy and the Poor Boys,1440950503,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/29/1b/da/291bda3c-1743-c65c-41a6-f22a88936136/14CMGIM00939.rgb.jpg/300x300bb.jpg
Azul,Cristian Castro,Cancionero,1140337739,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/89/54/00/895400ba-5359-5f72-3fcf-562690ce2dc9/886445974478.jpg/300x300bb.jpg
Lloviendo estrellas,Cristian Castro,Cancionero,1140337739,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/89/54/00/895400ba-5359-5f72-3fcf-562690ce2dc9/886445974478.jpg/300x300bb.jpg
No podrás,Cristian Castro,e5: Cristian - EP,1443539466,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/d3/20/42/d32042d9-6b33-e1dd-c5fc-0ce56005c828/00808835298858.rgb.jpg/300x300bb.jpg
Just Can't Get Enough,Depeche Mode,Speak & Spell,665396776,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/11/25/40/112540ba-cd42-0644-6828-95eba75121c8/0094635797657.jpg/300x300bb.jpg
Personal Jesus,Depeche Mode,DMBX4,1332106983,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/c4/63/59/c463598b-e3e2-0976-147d-d36fa9664a08/886446905587.jpg/300x300bb.jpg
Yo Solo Quiero Pegar en la Radio,Diego Mendez,Mi Nuevo Ahora,1228271344,https://is1-ssl.mzstatic.com/image/thumb/Music111/v4/2f/ce/b4/2fceb421-ba76-4826-fb53-60808e26bb23/191773067281.jpg/300x300bb.jpg
No lo soñé,Diego Torres,MTV Unplugged: Diego Torres,304780556,https://is1-ssl.mzstatic.com/image/thumb/Music/74/bd/b1/mzi.nbwxsbcv.jpg/300x300bb.jpg
Money for Nothing,Dire Straits,Rock Riffs,1544953773,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/e7/51/33/e751332b-c155-7740-98ea-2765cd5a8482/5059460063716.jpg/300x300bb.jpg
Sultans of Swing,Dire Straits,Dire Straits,307029087,https://is1-ssl.mzstatic.com/image/thumb/Music/47/c3/21/mzi.ciyzkqao.jpg/300x300bb.jpg
